eval_id,timestamp,eval_type,model_version,preproc_path,model_path,eval_data_path,test_set_size,rmse,mae,r2,precision,recall,f1,accuracy,inference_time_ms,metrics_json
eval_20251205T173438Z-1ea5df82,2025-12-05T17:34:38.156063Z,offline,v20251205T173438Z-8552e87f,src/models/v2/preprocessor.joblib,src/models/v2/xgb_model.joblib,data/test_data/offline_eval_data.parquet,92741,0.7029028859584369,0.5718045830726624,0.09368056058883667,0.9644925114027237,1.0,0.9819253632217093,0.9644925114027237,0.01752172563402537,"{""regression_metrics"": {""mse"": 0.49407246708869934, ""rmse"": 0.7029028859584369, ""mae"": 0.5718045830726624, ""r2"": 0.09368056058883667}, ""classification_metrics"": {""precision"": 0.9644925114027237, ""recall"": 1.0, ""f1"": 0.9819253632217093, ""accuracy"": 0.9644925114027237}, ""inference_time"": 1.7521725634025368e-05}"
eval_20251205T173528Z-791d9e9b,2025-12-05T17:35:28.332040Z,offline,v20251205T173528Z-662d421b,src/models/candidate/preprocessor.joblib,src/models/candidate/xgb_model.joblib,data/test_data/offline_eval_data.parquet,92741,0.7151128543808539,0.5912601947784424,0.061920106410980225,0.9644925114027237,1.0,0.9819253632217093,0.9644925114027237,0.015249973788697267,"{""regression_metrics"": {""mse"": 0.5113863945007324, ""rmse"": 0.7151128543808539, ""mae"": 0.5912601947784424, ""r2"": 0.061920106410980225}, ""classification_metrics"": {""precision"": 0.9644925114027237, ""recall"": 1.0, ""f1"": 0.9819253632217093, ""accuracy"": 0.9644925114027237}, ""inference_time"": 1.5249973788697267e-05}"
eval_20251205T180714Z-7868bcad,2025-12-05T18:07:14.411318Z,offline,v20251205T180714Z-4f0dc218,src/models/candidate/preprocessor.joblib,src/models/candidate/xgb_model.joblib,data/test_data/offline_eval_data.parquet,92741,0.7125460693456539,0.589180052280426,0.06864219903945923,0.964551091938528,0.9998882032018603,0.9819018186010001,0.9644493805328819,0.015658021475797,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.5658021475797e-05}"
eval_20251205T181158Z-ccbb4777,2025-12-05T18:11:58.368336Z,offline,v20251205T181158Z-29c42661,src/models/candidate/preprocessor.joblib,src/models/candidate/xgb_model.joblib,data/test_data/offline_eval_data.parquet,92741,0.7125460693456539,0.589180052280426,0.06864219903945923,0.964551091938528,0.9998882032018603,0.9819018186010001,0.9644493805328819,0.014814837580145391,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.481483758014539e-05}"
eval_20251205T181415Z-dcbeb2ad,2025-12-05T18:14:15.407551Z,offline,v20251205T181415Z-39f1b402,src/models/candidate/preprocessor.joblib,src/models/candidate/xgb_model.joblib,data/test_data/offline_eval_data.parquet,92741,0.7125460693456539,0.589180052280426,0.06864219903945923,0.964551091938528,0.9998882032018603,0.9819018186010001,0.9644493805328819,0.015108790584644047,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.5108790584644047e-05}"
eval_20251205T182221Z-c6702222,2025-12-05T18:22:21.940861Z,offline,v20251205T182221Z-38eec815,src/models/candidate/preprocessor.joblib,src/models/candidate/xgb_model.joblib,data/test_data/offline_eval_data.parquet,92741,0.7125460693456539,0.589180052280426,0.06864219903945923,0.964551091938528,0.9998882032018603,0.9819018186010001,0.9644493805328819,0.014852055054290087,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.4852055054290087e-05}"
eval_20251205T182706Z-ef40f069,2025-12-05T18:27:06.336525Z,offline,v20251205T182706Z-726166b5,src/models/candidate/preprocessor.joblib,src/models/candidate/xgb_model.joblib,data/test_data/offline_eval_data.parquet,92741,0.7125460693456539,0.589180052280426,0.06864219903945923,0.964551091938528,0.9998882032018603,0.9819018186010001,0.9644493805328819,0.014796908819719536,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.4796908819719535e-05}"
eval_20251205T182940Z-09853089,2025-12-05T18:29:40.157519Z,offline,v20251205T182940Z-a684468b,src/models/candidate/preprocessor.joblib,src/models/candidate/xgb_model.joblib,data/test_data/offline_eval_data.parquet,92741,0.7125460693456539,0.589180052280426,0.06864219903945923,0.964551091938528,0.9998882032018603,0.9819018186010001,0.9644493805328819,0.015271735612185203,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.5271735612185203e-05}"
eval_20251205T183119Z-340b7f06,2025-12-05T18:31:19.327886Z,offline,v20251205T183119Z-0f67e72f,src/models/candidate/preprocessor.joblib,src/models/candidate/xgb_model.joblib,data/test_data/offline_eval_data.parquet,92741,0.7125460693456539,0.589180052280426,0.06864219903945923,0.964551091938528,0.9998882032018603,0.9819018186010001,0.9644493805328819,0.015247798891748562,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.5247798891748561e-05}"
eval_20251205T183704Z-89be3c27,2025-12-05T18:37:04.310462Z,offline,v20251205T183704Z-6725b68e,src/models/candidate/preprocessor.joblib,src/models/candidate/xgb_model.joblib,data/test_data/offline_eval_data.parquet,92741,0.7125460693456539,0.589180052280426,0.06864219903945923,0.964551091938528,0.9998882032018603,0.9819018186010001,0.9644493805328819,0.015750038126488522,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.575003812648852e-05}"
