model_version,model_tag,build_time,git_commit,git_branch,pipeline_version,training_data_id,training_row_count,model_type,metrics_json,artifact_path,framework_versions
v20251205T173438Z-8552e87f,v20251205T173438Z-8552e87f,2025-12-05T17:34:38.154758Z,4f3bb1d4,jess-update,pipeline_v1.0,data_training_v2,,XGBoost,"{""mse"": 0.49407246708869934, ""rmse"": 0.7029028859584369, ""mae"": 0.5718045830726624, ""r2"": 0.09368056058883667}",src/models/v2/xgb_model.joblib,
v20251205T173528Z-662d421b,v20251205T173528Z-662d421b,2025-12-05T17:35:28.331538Z,4f3bb1d4,jess-update,pipeline_v1.0,data_training_v2,,XGBoost,"{""mse"": 0.5113863945007324, ""rmse"": 0.7151128543808539, ""mae"": 0.5912601947784424, ""r2"": 0.061920106410980225}",src/models/candidate/xgb_model.joblib,
v20251205T173531Z-30ba1026,v20251205T173531Z-30ba1026,2025-12-05T17:35:31.262831Z,4f3bb1d4,jess-update,pipeline_v1.0,data_20251205T173530Z-730906cf,,XGBoost,"{""regression_metrics"": {""mse"": 0.5113863945007324, ""rmse"": 0.7151128543808539, ""mae"": 0.5912601947784424, ""r2"": 0.061920106410980225}, ""classification_metrics"": {""precision"": 0.9644925114027237, ""recall"": 1.0, ""f1"": 0.9819253632217093, ""accuracy"": 0.9644925114027237}, ""inference_time"": 1.5249973788697267e-05}",src/models/candidate (md5=297d48bc36708b195b4657cde3598b21.dir,
v20251205T180714Z-4f0dc218,v20251205T180714Z-4f0dc218,2025-12-05T18:07:14.409722Z,4f3bb1d4,jess-update,pipeline_v1.0,data_training_v2,,XGBoost,"{""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}",src/models/candidate/xgb_model.joblib,
v20251205T180717Z-b3d73a26,v20251205T180717Z-b3d73a26,2025-12-05T18:07:17.838978Z,4f3bb1d4,jess-update,pipeline_v1.0,data_20251205T180717Z-8fd2f670,,XGBoost,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.5658021475797e-05}",src/models/candidate (md5=67803637f7c84086615428a07a7b15c9.dir,
v20251205T181158Z-29c42661,v20251205T181158Z-29c42661,2025-12-05T18:11:58.367162Z,4f3bb1d4,jess-update,pipeline_v1.0,data_training_v2,,XGBoost,"{""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}",src/models/candidate/xgb_model.joblib,
v20251205T181201Z-24daaebd,v20251205T181201Z-24daaebd,2025-12-05T18:12:01.319677Z,4f3bb1d4,jess-update,pipeline_v1.0,data_20251205T181200Z-e1565719,,XGBoost,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.481483758014539e-05}",src/models/candidate (md5=10a6e79449ae27a11bdae22bc41a355e.dir,
v20251205T181415Z-39f1b402,v20251205T181415Z-39f1b402,2025-12-05T18:14:15.407039Z,4f3bb1d4,jess-update,pipeline_v1.0,data_training_v2,,XGBoost,"{""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}",src/models/candidate/xgb_model.joblib,
v20251205T181418Z-664e9c9a,v20251205T181418Z-664e9c9a,2025-12-05T18:14:18.336304Z,4f3bb1d4,jess-update,pipeline_v1.0,data_20251205T181417Z-9af31adc,,XGBoost,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.5108790584644047e-05}",src/models/candidate (md5=f84d09d537e6677967ce4306647360b1.dir,
v20251205T182221Z-38eec815,v20251205T182221Z-38eec815,2025-12-05T18:22:21.940290Z,4f3bb1d4,jess-update,pipeline_v1.0,data_training_v2,,XGBoost,"{""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}",src/models/candidate/xgb_model.joblib,
v20251205T182225Z-5b0ef890,v20251205T182225Z-5b0ef890,2025-12-05T18:22:25.038032Z,4f3bb1d4,jess-update,pipeline_v1.0,data_20251205T182224Z-26770677,,XGBoost,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.4852055054290087e-05}",src/models/candidate (md5=34d16e1aff0710f44933faf518083d44.dir,
v20251205T182706Z-726166b5,v20251205T182706Z-726166b5,2025-12-05T18:27:06.335895Z,4f3bb1d4,jess-update,pipeline_v1.0,data_training_v2,,XGBoost,"{""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}",src/models/candidate/xgb_model.joblib,
v20251205T182709Z-842b21a4,v20251205T182709Z-842b21a4,2025-12-05T18:27:09.473676Z,4f3bb1d4,jess-update,pipeline_v1.0,data_20251205T182708Z-53c9b778,,XGBoost,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.4796908819719535e-05}",src/models/candidate (md5=fa67d903b687194c5bed900f85c08c41.dir,
v20251205T182940Z-a684468b,v20251205T182940Z-a684468b,2025-12-05T18:29:40.156571Z,4f3bb1d4,jess-update,pipeline_v1.0,data_training_v2,,XGBoost,"{""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}",src/models/candidate/xgb_model.joblib,
v20251205T182943Z-fe3cf062,v20251205T182943Z-fe3cf062,2025-12-05T18:29:43.032315Z,4f3bb1d4,jess-update,pipeline_v1.0,data_20251205T182942Z-fc77c38e,,XGBoost,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.5271735612185203e-05}",src/models/candidate (md5=017267ed127cb52cf80a0137ed1a3e77.dir,
v20251205T183119Z-0f67e72f,v20251205T183119Z-0f67e72f,2025-12-05T18:31:19.327223Z,4f3bb1d4,jess-update,pipeline_v1.0,data_training_v2,,XGBoost,"{""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}",src/models/candidate/xgb_model.joblib,
v20251205T183122Z-2410c2a9,v20251205T183122Z-2410c2a9,2025-12-05T18:31:22.340870Z,4f3bb1d4,jess-update,pipeline_v1.0,data_20251205T183121Z-e3de1276,,XGBoost,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.5247798891748561e-05}",src/models/candidate (md5=0688a93f089521fc6e70ea574443cf0e.dir,
v20251205T183704Z-6725b68e,v20251205T183704Z-6725b68e,2025-12-05T18:37:04.309499Z,4f3bb1d4,jess-update,pipeline_v1.0,data_training_v2,,XGBoost,"{""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}",src/models/candidate/xgb_model.joblib,
v20251205T183707Z-e2a576e3,v20251205T183707Z-e2a576e3,2025-12-05T18:37:07.555400Z,4f3bb1d4,jess-update,pipeline_v1.0,data_20251205T183706Z-491beb36,,XGBoost,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.575003812648852e-05}",src/models/candidate (md5=5ce4a592a3e243432a80629bd0a278fd.dir,
v20251205T183850Z-f9e79b6e,v20251205T183850Z-f9e79b6e,2025-12-05T18:38:50.563726Z,4f3bb1d4,jess-update,pipeline_v1.0,data_training_v2,,XGBoost,"{""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}",src/models/candidate/xgb_model.joblib,
v20251205T183853Z-b9575761,v20251205T183853Z-b9575761,2025-12-05T18:38:53.548173Z,4f3bb1d4,jess-update,pipeline_v1.0,data_20251205T183852Z-278902f5,,XGBoost,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.553659744189479e-05}",src/models/candidate (md5=e60e99a3112cde7585493f3830f54479.dir,
v20251205T184146Z-efd83fd5,v20251205T184146Z-efd83fd5,2025-12-05T18:41:46.391356Z,4f3bb1d4,jess-update,pipeline_v1.0,data_training_v2,,XGBoost,"{""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}",src/models/candidate/xgb_model.joblib,
v20251205T184149Z-8ad39a05,v20251205T184149Z-8ad39a05,2025-12-05T18:41:49.435636Z,4f3bb1d4,jess-update,pipeline_v1.0,data_20251205T184148Z-15ca9f83,,XGBoost,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.5588663857854763e-05}",src/models/candidate (md5=de5ec50f826b8f2d86c7b74bfd0fad4b.dir,
v20251205T184809Z-c0a02e20,v20251205T184809Z-c0a02e20,2025-12-05T18:48:09.795949Z,4f3bb1d4,jess-update,pipeline_v1.0,data_training_v2,,XGBoost,"{""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}",src/models/candidate/xgb_model.joblib,
v20251205T184812Z-38fdc9da,v20251205T184812Z-38fdc9da,2025-12-05T18:48:12.828196Z,4f3bb1d4,jess-update,pipeline_v1.0,data_20251205T184812Z-e0266acf,,XGBoost,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.8562866284812015e-05}",src/models/candidate (md5=82bb7114025fc01f7f583ca0546ffe7d.dir,
v20251205T185846Z-43b5ddd1,v20251205T185846Z-43b5ddd1,2025-12-05T18:58:46.974348Z,4f3bb1d4,jess-update,pipeline_v1.0,data_training_v2,,XGBoost,"{""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}",src/models/candidate/xgb_model.joblib,
v20251205T185849Z-955aa650,v20251205T185849Z-955aa650,2025-12-05T18:58:49.981491Z,4f3bb1d4,jess-update,pipeline_v1.0,data_20251205T185849Z-16ab886a,,XGBoost,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.563255512925577e-05}",src/models/candidate (md5=3da7a592d275cfc567636e3d450d2e53.dir,
v20251205T191437Z-63555a8c,v20251205T191437Z-63555a8c,2025-12-05T19:14:37.938040Z,4f3bb1d4,jess-update,pipeline_v1.0,data_training_v2,,XGBoost,"{""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}",src/models/candidate/xgb_model.joblib,
v20251205T191440Z-74341ae0,v20251205T191440Z-74341ae0,2025-12-05T19:14:40.982231Z,4f3bb1d4,jess-update,pipeline_v1.0,data_20251205T191440Z-4d2723f2,,XGBoost,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.5563750233351327e-05}",src/models/candidate (md5=cfab536c371d9be296b4aae8fe56a54c.dir,
v20251205T191906Z-0f4d011e,v20251205T191906Z-0f4d011e,2025-12-05T19:19:06.842029Z,4f3bb1d4,jess-update,pipeline_v1.0,data_training_v2,,XGBoost,"{""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}",src/models/candidate/xgb_model.joblib,
v20251205T191909Z-03c0ea30,v20251205T191909Z-03c0ea30,2025-12-05T19:19:09.753908Z,4f3bb1d4,jess-update,pipeline_v1.0,data_20251205T191909Z-f1e19fb8,,XGBoost,"{""regression_metrics"": {""mse"": 0.5077219009399414, ""rmse"": 0.7125460693456539, ""mae"": 0.589180052280426, ""r2"": 0.06864219903945923}, ""classification_metrics"": {""precision"": 0.964551091938528, ""recall"": 0.9998882032018603, ""f1"": 0.9819018186010001, ""accuracy"": 0.9644493805328819}, ""inference_time"": 1.3160535379434614e-05}",src/models/candidate (md5=42836bf6dd5090a7de1c54407bd3b2a1.dir,
